nodeId:ID(Intersection),longitude:double,latitude:double,:LABEL
442,-60.0180058,-3.1157600,Intersection
443,-60.0181054,-3.1157600,Intersection
444,-60.0181981,-3.1157616,Intersection
445,-60.0188337,-3.1157722,Intersection
446,-60.0192726,-3.1157795,Intersection
447,-60.0194113,-3.1157797,Intersection
448,-60.0130644,-3.1078222,Intersection
449,-60.0140794,-3.1077734,Intersection
450,-60.0144053,-3.1077578,Intersection
451,-60.0145112,-3.1077527,Intersection
452,-60.0149887,-3.1077826,Intersection
453,-60.0155594,-3.1078687,Intersection
454,-60.0156264,-3.1078788,Intersection
455,-60.0157026,-3.1078829,Intersection
456,-60.0157759,-3.1078858,Intersection
457,-60.0158632,-3.1078873,Intersection
458,-60.0111057,-3.1159737,Intersection
459,-60.0109895,-3.1159599,Intersection
460,-60.0109258,-3.1159489,Intersection
461,-60.0108463,-3.1159278,Intersection
462,-60.0107579,-3.1158810,Intersection
463,-60.0106899,-3.1158270,Intersection
464,-60.0106320,-3.1157507,Intersection
465,-60.0101337,-3.1063838,Intersection
466,-60.0101649,-3.1059983,Intersection
467,-60.0101248,-3.1054833,Intersection
468,-60.0101168,-3.1053749,Intersection
469,-60.0100977,-3.1050205,Intersection
470,-60.0100530,-3.1041938,Intersection
471,-60.0100413,-3.1039765,Intersection
472,-60.0100212,-3.1036050,Intersection
473,-60.0099367,-3.1023406,Intersection
474,-60.0098978,-3.1015693,Intersection
475,-60.0098804,-3.1012359,Intersection
476,-60.0098610,-3.1008392,Intersection
477,-60.0098175,-3.1001056,Intersection
478,-60.0097731,-3.0995083,Intersection
479,-60.0096457,-3.0971755,Intersection
480,-60.0096403,-3.0970189,Intersection
481,-60.0096118,-3.0965464,Intersection
482,-60.0096028,-3.0963975,Intersection
483,-60.0095934,-3.0962542,Intersection
484,-60.0095652,-3.0958377,Intersection
485,-60.0095639,-3.0957527,Intersection
486,-60.0095330,-3.0952967,Intersection
487,-60.0094979,-3.0947462,Intersection
488,-60.0094654,-3.0942355,Intersection
489,-60.0094499,-3.0939924,Intersection
490,-60.0094177,-3.0934058,Intersection
491,-60.0093450,-3.0928177,Intersection
492,-60.0152070,-3.1053725,Intersection
493,-60.0152323,-3.1056942,Intersection
494,-60.0156043,-3.1048954,Intersection
495,-60.0148981,-3.1049318,Intersection
496,-60.0148458,-3.1049285,Intersection
497,-60.0148015,-3.1049138,Intersection
498,-60.0147841,-3.1048870,Intersection
499,-60.0147734,-3.1048589,Intersection
500,-60.0147687,-3.1045589,Intersection
501,-60.0147700,-3.1045408,Intersection
502,-60.0147794,-3.1045080,Intersection
503,-60.0148056,-3.1044719,Intersection
504,-60.0148411,-3.1044558,Intersection
505,-60.0148766,-3.1044457,Intersection
506,-60.0155271,-3.1044190,Intersection
507,-60.0155465,-3.1044277,Intersection
508,-60.0155680,-3.1044484,Intersection
509,-60.0155827,-3.1044893,Intersection
510,-60.0092658,-3.0963109,Intersection
511,-60.0089500,-3.0964059,Intersection
512,-60.0087803,-3.0964570,Intersection
513,-60.0084293,-3.0965984,Intersection
514,-60.0081841,-3.0967341,Intersection
515,-60.0066949,-3.0977033,Intersection
516,-60.0103500,-3.1102017,Intersection
517,-60.0092653,-3.1102640,Intersection
518,-60.0091566,-3.1102855,Intersection
519,-60.0089962,-3.1103119,Intersection
520,-60.0088121,-3.1104050,Intersection
521,-60.0086788,-3.1104821,Intersection
522,-60.0080381,-3.1108374,Intersection
523,-60.0080284,-3.1109017,Intersection
524,-60.0080050,-3.1109644,Intersection
525,-60.0079560,-3.1110314,Intersection
526,-60.0078177,-3.1111521,Intersection
527,-60.0075334,-3.1113637,Intersection
528,-60.0072666,-3.1115565,Intersection
529,-60.0055885,-3.0963526,Intersection
530,-60.0056102,-3.0963118,Intersection
531,-60.0056418,-3.0962723,Intersection
532,-60.0057080,-3.0962148,Intersection
533,-60.0061605,-3.0958787,Intersection
534,-60.0062021,-3.0958462,Intersection
535,-60.0065893,-3.0955438,Intersection
536,-60.0070319,-3.0951994,Intersection
537,-60.0072447,-3.0950322,Intersection
538,-60.0074838,-3.0948508,Intersection
539,-60.0079331,-3.0945039,Intersection
540,-60.0083837,-3.0941451,Intersection
541,-60.0086507,-3.0939468,Intersection
542,-60.0088169,-3.0938186,Intersection
543,-60.0090778,-3.0936301,Intersection
544,-60.0093567,-3.0934286,Intersection
545,-60.0074902,-3.0980357,Intersection
546,-60.0077553,-3.0979262,Intersection
547,-60.0081623,-3.0976726,Intersection
548,-60.0086465,-3.0974053,Intersection
